fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
5.0,0.24,0.19,5.0,0.043,17.0,101.0,0.9943799999999999,3.67,0.57,10.0,Poor
6.4,0.29,0.57,1.0,0.06,15.0,120.0,0.9924,3.06,0.41,9.5,Poor
6.6,0.26,0.31,4.8,0.138,41.0,168.0,0.9951,3.2,0.38,9.3,Poor
6.4,0.32,0.26,7.9,0.05,53.0,180.0,0.9951399999999999,3.14,0.5,9.6,Poor
7.7,0.34,0.58,11.1,0.039,41.0,151.0,0.9978,3.06,0.49,8.6,Poor
6.4,0.2,0.28,2.5,0.032,24.0,84.0,0.9916799999999999,3.31,0.55,11.5,Poor
6.1,0.21,0.19,1.4,0.046,51.0,131.0,0.9918399999999999,3.22,0.39,10.5,Poor
6.9,0.56,0.26,10.9,0.06,55.0,193.0,0.9969,3.21,0.44,9.4,Poor
5.5,0.24,0.32,8.7,0.06,19.0,102.0,0.9940000000000001,3.27,0.31,10.4,Poor
5.9,0.37,0.1,1.6,0.057,39.0,128.0,0.9924,3.24,0.48,10.1,Poor
7.1,0.24,0.34,1.2,0.045,6.0,132.0,0.9913200000000001,3.16,0.46,11.2,Poor
7.1,0.34,0.86,1.4,0.174,36.0,99.0,0.9928799999999999,2.92,0.5,9.3,Poor
8.3,0.36,0.57,15.0,0.052000000000000005,35.0,256.0,1.0001,2.93,0.64,8.6,Poor
5.7,0.695,0.06,6.8,0.042,9.0,84.0,0.9943200000000001,3.44,0.44,10.2,Poor
5.5,0.42,0.09,1.6,0.019,18.0,68.0,0.9906,3.33,0.51,11.4,Good
6.0,0.39,0.13,1.2,0.042,60.0,172.0,0.9911399999999999,3.06,0.52,10.6,Poor
5.8,0.35,0.29,3.2,0.034,41.0,151.0,0.9912,3.35,0.58,11.63333333,Good
6.7,0.3,0.44,18.5,0.057,65.0,224.0,0.99956,3.11,0.53,9.1,Poor
6.7,0.35,0.32,9.0,0.032,29.0,113.0,0.9918799999999999,3.13,0.65,12.9,Good
7.2,0.21,0.36,15.7,0.045,68.0,183.0,0.9992200000000001,3.25,0.76,9.4,Poor
6.2,0.35,0.04,1.2,0.06,23.0,108.0,0.9934,3.26,0.54,9.2,Poor
6.0,0.2,0.32,3.0,0.031,26.0,118.0,0.99134,3.38,0.68,11.2,Good
7.7,0.31,0.26,7.8,0.031,23.0,90.0,0.9944,3.13,0.5,10.4,Poor
8.0,0.34,0.49,9.0,0.033,39.0,180.0,0.9936,3.13,0.38,12.3,Good
4.2,0.215,0.23,5.1,0.040999999999999995,64.0,157.0,0.9968799999999999,3.42,0.44,8.0,Poor
6.6,0.29,0.39,6.75,0.031,22.0,98.0,0.9913,3.15,0.8,12.9,Good
6.9,0.42,0.2,15.4,0.043,57.0,201.0,0.9984799999999999,3.08,0.54,9.4,Poor
7.2,0.6,0.2,9.9,0.07,21.0,174.0,0.9971,3.03,0.54,9.1,Poor
6.3,0.37,0.28,6.3,0.034,45.0,152.0,0.9921,3.29,0.46,11.6,Good
6.4,0.15,0.44,1.2,0.043,67.0,150.0,0.9907,3.14,0.73,11.2,Good
7.2,0.55,0.09,1.5,0.10800000000000001,16.0,151.0,0.9938,3.07,0.57,9.2,Poor
6.8,0.28,0.4,22.0,0.048,48.0,167.0,1.001,2.93,0.5,8.7,Poor
8.2,0.29,0.49,1.0,0.044000000000000004,29.0,118.0,0.9928,3.24,0.36,10.9,Poor
6.6,0.27,0.32,1.3,0.044000000000000004,18.0,93.0,0.99044,3.11,0.56,12.25,Poor
7.2,0.32,0.47,5.1,0.044000000000000004,19.0,65.0,0.991,3.03,0.41,12.6,Poor
5.1,0.42,0.01,1.5,0.017,25.0,102.0,0.9894,3.38,0.36,12.3,Good
6.3,0.36,0.2,2.0,0.048,48.0,191.0,0.9929,3.17,0.51,9.6,Poor
7.4,0.38,0.34,8.3,0.052000000000000005,44.0,168.0,0.9962700000000001,3.11,0.52,9.2,Poor
6.8,0.24,0.49,19.3,0.057,55.0,247.0,1.00055,3.0,0.56,8.7,Poor
7.3,0.32,0.25,7.2,0.055999999999999994,47.0,180.0,0.9961,3.08,0.47,8.8,Poor
6.0,0.2,0.24,5.3,0.075,49.0,201.0,0.99466,3.21,0.43,9.5,Poor
6.7,0.31,0.34,6.8,0.059000000000000004,51.0,215.0,0.9953799999999999,3.33,0.56,10.3,Poor
5.8,0.28,0.34,4.0,0.031,40.0,99.0,0.9896,3.39,0.39,12.8,Good
6.2,0.2,0.26,1.1,0.047,42.0,119.0,0.9915799999999999,3.48,0.6,11.0,Good
6.4,0.4,0.19,3.2,0.033,28.0,124.0,0.9904,3.22,0.54,12.7,Good
8.5,0.26,0.21,16.2,0.07400000000000001,41.0,197.0,0.998,3.02,0.5,9.8,Poor
7.2,0.24,0.4,17.85,0.049,50.0,185.0,1.0,3.34,0.42,9.6,Poor
7.1,0.26,0.34,14.4,0.067,35.0,189.0,0.9986,3.07,0.53,9.1,Good
7.4,0.28,0.5,12.1,0.049,48.0,122.0,0.9973,3.01,0.44,9.0,Poor
7.2,0.26,0.38,1.5,0.061,12.0,120.0,0.99192,3.18,0.46,10.4,Poor
6.9,0.2,0.37,6.2,0.027000000000000003,24.0,97.0,0.992,3.38,0.49,12.2,Good
5.8,0.24,0.28,1.4,0.038,40.0,76.0,0.98711,3.1,0.29,13.9,Good
8.4,0.28,0.4,8.9,0.048,33.0,146.0,0.9988,3.4,0.46,9.3,Poor
5.4,0.22,0.35,6.5,0.028999999999999998,26.0,87.0,0.99092,3.29,0.44,12.5,Good
7.0,0.29,0.33,0.9,0.040999999999999995,20.0,117.0,0.9904799999999999,3.21,0.5,11.4,Poor
9.2,0.28,0.46,3.2,0.057999999999999996,39.0,133.0,0.996,3.14,0.58,9.5,Poor
6.5,0.24,0.36,2.2,0.027000000000000003,36.0,134.0,0.9898,3.28,0.36,12.5,Good
5.2,0.31,0.2,2.4,0.027000000000000003,27.0,117.0,0.9888600000000001,3.56,0.45,13.0,Good
7.8,0.21,0.27,1.2,0.051,20.0,89.0,0.9936,3.06,0.46,9.1,Poor
6.4,0.31,0.28,1.5,0.037000000000000005,12.0,119.0,0.9919,3.32,0.51,10.4,Good
7.3,0.35,0.67,8.3,0.053,10.0,100.0,0.9959,3.19,0.5,10.9,Poor
6.0,0.26,0.18,7.0,0.055,50.0,194.0,0.9959100000000001,3.21,0.43,9.0,Poor
6.6,0.24,0.35,7.7,0.031,36.0,135.0,0.9938,3.19,0.37,10.5,Poor
6.2,0.255,0.24,1.7,0.039,138.5,272.0,0.9945200000000001,3.53,0.53,9.6,Poor
7.0,0.31,0.31,9.1,0.036000000000000004,45.0,140.0,0.99216,2.98,0.31,12.0,Good
6.2,0.16,0.34,1.7,0.038,85.0,153.0,0.9909,3.33,0.86,12.0,Good
7.5,0.3,0.21,6.55,0.026000000000000002,33.0,143.0,0.99244,2.92,0.35,11.1,Poor
7.2,0.51,0.24,10.0,0.09300000000000001,35.0,197.0,0.9981,3.41,0.47,9.0,Poor
9.4,0.23,0.56,16.45,0.063,52.5,282.0,1.00098,3.1,0.51,9.3,Poor
5.5,0.32,0.13,1.3,0.037000000000000005,45.0,156.0,0.9918399999999999,3.26,0.38,10.7,Poor
7.6,0.23,0.64,12.9,0.033,54.0,170.0,0.998,3.0,0.53,8.8,Poor
7.1,0.24,0.41,17.8,0.046,39.0,145.0,0.9998,3.32,0.39,8.7,Poor
7.9,0.28,0.32,3.6,0.038,9.0,76.0,0.992,3.05,0.31,11.7,Poor
6.6,0.25,0.3,1.6,0.046,32.0,134.0,0.993,3.42,0.51,10.1,Good
5.8,0.26,0.18,1.2,0.031,40.0,114.0,0.9908,3.42,0.4,11.0,Good
7.4,0.19,0.49,6.7,0.037000000000000005,15.0,110.0,0.9938,3.2,0.38,11.0,Good
6.1,0.3,0.3,2.1,0.031,50.0,163.0,0.9895,3.39,0.43,12.7,Good
7.4,0.19,0.49,9.3,0.03,26.0,132.0,0.9940000000000001,2.99,0.32,11.0,Good
6.5,0.48,0.02,0.9,0.043,32.0,99.0,0.99226,3.14,0.47,9.8,Poor
6.6,0.22,0.58,1.1,0.133,52.0,136.0,0.9932,3.1,0.3,9.1,Poor
8.2,0.37,0.27,1.7,0.027999999999999997,10.0,59.0,0.9923,2.97,0.48,10.4,Poor
6.4,0.33,0.28,4.0,0.04,24.0,81.0,0.9903,3.26,0.64,12.6,Good
5.9,0.32,0.26,1.5,0.057,17.0,141.0,0.9917,3.24,0.36,10.7,Poor
7.2,0.28,0.38,2.0,0.052000000000000005,23.0,156.0,0.9912,3.13,0.52,11.1,Poor
6.6,0.36,0.28,6.1,0.028999999999999998,12.0,93.0,0.99054,3.19,0.27,12.8,Good
7.6,0.285,0.32,14.6,0.063,32.0,201.0,0.998,3.0,0.45,9.2,Poor
6.5,0.13,0.37,1.0,0.036000000000000004,48.0,114.0,0.9911,3.41,0.51,11.5,Good
7.1,0.24,0.41,17.8,0.046,39.0,145.0,0.9998,3.32,0.39,8.7,Poor
7.1,0.23,0.39,1.6,0.032,12.0,65.0,0.9898,3.25,0.4,12.7,Good
5.4,0.415,0.19,1.6,0.039,27.0,88.0,0.99265,3.54,0.41,10.0,Good
7.0,0.34,0.1,3.5,0.044000000000000004,17.0,63.0,0.9937,3.01,0.39,9.2,Poor
7.0,0.32,0.29,7.6,0.025,35.0,124.0,0.9916200000000001,3.15,0.65,12.8,Good
5.5,0.29,0.3,1.1,0.022000000000000002,20.0,110.0,0.98869,3.34,0.38,12.8,Good
6.8,0.34,0.44,6.6,0.052000000000000005,28.0,156.0,0.9955,3.14,0.41,9.6,Poor
6.4,0.21,0.21,5.1,0.09699999999999999,21.0,105.0,0.9939,3.07,0.46,9.6,Poor
6.1,0.34,0.31,12.0,0.053,46.0,238.0,0.9977,3.16,0.48,8.6,Poor
8.1,0.46,0.31,1.7,0.052000000000000005,50.0,183.0,0.9923,3.03,0.42,11.2,Poor
7.3,0.3,0.34,2.7,0.044000000000000004,34.0,108.0,0.99105,3.36,0.53,12.8,Good
6.1,0.27,0.31,1.5,0.035,17.0,83.0,0.9907600000000001,3.32,0.44,11.1,Good
6.6,0.45,0.43,7.2,0.064,31.0,186.0,0.9954,3.12,0.44,9.4,Poor
7.2,0.27,0.46,18.75,0.052000000000000005,45.0,255.0,1.0,3.04,0.52,8.9,Poor
5.8,0.28,0.3,1.5,0.026000000000000002,31.0,114.0,0.9895200000000001,3.32,0.6,12.5,Good
5.1,0.21,0.28,1.4,0.047,48.0,148.0,0.9916799999999999,3.5,0.49,10.4,Poor
6.9,0.29,0.23,8.6,0.055999999999999994,56.0,215.0,0.9967,3.17,0.44,8.8,Poor
6.5,0.27,0.26,11.0,0.03,2.0,82.0,0.9940200000000001,3.07,0.36,11.2,Poor
5.8,0.31,0.31,7.5,0.052000000000000005,55.0,230.0,0.9949,3.19,0.46,9.8,Poor
6.6,0.24,0.38,8.0,0.042,56.0,187.0,0.99577,3.21,0.46,9.2,Poor
6.6,0.35,0.26,2.7,0.045,19.0,129.0,0.9895200000000001,3.24,0.48,13.0,Good
8.1,0.26,0.33,11.1,0.052000000000000005,52.5,158.0,0.9976,3.03,0.49,10.2,Good
9.8,0.36,0.45,1.6,0.042,11.0,124.0,0.9944,2.93,0.46,10.8,Poor
8.0,0.57,0.39,3.9,0.034,22.0,122.0,0.9917,3.29,0.67,12.8,Good
6.6,0.36,0.52,10.1,0.05,29.0,140.0,0.9962799999999999,3.07,0.4,9.4,Poor
7.8,0.25,0.37,1.0,0.043,10.0,80.0,0.9912799999999999,3.08,0.38,11.4,Poor
7.7,0.26,0.32,1.2,0.04,26.0,117.0,0.993,3.21,0.56,10.8,Poor
5.6,0.26,0.27,10.6,0.03,27.0,119.0,0.9947,3.4,0.34,10.7,Good
7.7,0.275,0.3,1.0,0.039,19.0,75.0,0.992,3.01,0.56,10.7,Poor
6.1,0.3,0.3,2.1,0.031,50.0,163.0,0.9895,3.39,0.43,12.7,Good
7.2,0.25,0.28,14.4,0.055,55.0,205.0,0.9986,3.12,0.38,9.0,Good
7.6,0.31,0.49,13.4,0.062,50.0,191.0,0.9989,3.22,0.53,9.0,Poor
6.4,0.34,0.1,1.1,0.048,19.0,84.0,0.9927,3.21,0.38,9.8,Poor
6.9,0.25,0.24,3.6,0.057,13.0,85.0,0.9942,2.99,0.48,9.5,Poor
6.7,0.24,0.3,3.85,0.042,105.0,179.0,0.9918899999999999,3.04,0.59,11.3,Good
5.8,0.26,0.18,1.2,0.031,40.0,114.0,0.9908,3.42,0.4,11.0,Good
6.5,0.22,0.19,4.5,0.096,16.0,115.0,0.9937,3.02,0.44,9.6,Poor
7.0,0.24,0.3,6.7,0.039,37.0,125.0,0.99436,3.2,0.39,9.9,Poor
5.4,0.53,0.16,2.7,0.036000000000000004,34.0,128.0,0.98856,3.2,0.53,13.2,Good
7.1,0.31,0.25,11.2,0.048,32.0,136.0,0.9966299999999999,3.14,0.4,9.5,Poor
6.8,0.31,0.19,3.5,0.086,30.0,130.0,0.993,2.83,0.44,9.6,Poor
5.8,0.17,0.36,1.3,0.036000000000000004,11.0,70.0,0.9920200000000001,3.43,0.68,10.4,Good
6.7,0.35,0.32,9.0,0.032,29.0,113.0,0.9918799999999999,3.13,0.65,12.9,Good
6.1,0.2,0.25,1.2,0.038,34.0,128.0,0.9921,3.24,0.44,10.1,Poor
5.5,0.14,0.27,4.6,0.028999999999999998,22.0,104.0,0.9949,3.34,0.44,9.0,Poor
6.4,0.31,0.4,6.4,0.039,39.0,191.0,0.99513,3.14,0.52,9.8,Poor
9.8,0.31,0.49,15.4,0.046,13.0,119.0,1.0004,3.18,0.45,9.5,Poor
5.2,0.2,0.27,3.2,0.047,16.0,93.0,0.99235,3.44,0.53,10.1,Good
5.2,0.44,0.04,1.4,0.036000000000000004,43.0,119.0,0.9894,3.36,0.33,12.1,Good
6.8,0.35,0.44,6.5,0.055999999999999994,31.0,161.0,0.9952,3.14,0.44,9.5,Poor
4.7,0.335,0.14,1.3,0.036000000000000004,69.0,168.0,0.9921200000000001,3.47,0.46,10.5,Poor
8.1,0.17,0.44,14.1,0.053,43.0,145.0,1.0006,3.28,0.75,8.8,Good
5.8,0.26,0.3,2.6,0.034,75.0,129.0,0.9902,3.2,0.38,11.5,Poor
8.7,0.22,0.42,2.3,0.053,27.0,114.0,0.9940000000000001,2.99,0.43,10.0,Poor
6.5,0.23,0.36,16.3,0.038,43.0,133.0,0.99924,3.26,0.41,8.8,Poor
7.2,0.47,0.65,8.3,0.083,27.0,182.0,0.9964,3.0,0.35,9.2,Poor
5.9,0.37,0.14,6.3,0.036000000000000004,34.0,185.0,0.9944,3.17,0.63,9.8,Poor
6.9,0.3,0.21,15.7,0.055999999999999994,49.0,159.0,0.9982700000000001,3.11,0.48,9.0,Poor
6.3,0.24,0.55,8.1,0.04,67.0,216.0,0.9959600000000001,3.24,0.5,9.2,Poor
5.8,0.22,0.29,0.9,0.034,34.0,89.0,0.98936,3.14,0.36,11.1,Good
6.0,0.24,0.32,6.3,0.03,34.0,129.0,0.9946,3.52,0.41,10.4,Poor
8.0,0.37,0.31,4.7,0.038,3.0,127.0,0.9918600000000001,2.9,0.72,12.1,Poor
7.4,0.18,0.29,1.4,0.042,34.0,101.0,0.99384,3.54,0.6,10.5,Good
6.5,0.33,0.24,14.5,0.048,20.0,96.0,0.99456,3.06,0.3,11.5,Good
7.1,0.12,0.32,9.6,0.054000000000000006,64.0,162.0,0.9962,3.4,0.41,9.4,Poor
6.5,0.32,0.34,5.7,0.044000000000000004,27.0,91.0,0.9918399999999999,3.28,0.6,12.0,Good
7.0,0.25,0.45,2.3,0.045,40.0,118.0,0.99064,3.16,0.48,11.9,Good
6.1,0.27,0.31,1.5,0.035,17.0,83.0,0.9907600000000001,3.32,0.44,11.1,Good
7.3,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,3.25,0.4,11.9,Good
7.1,0.36,0.4,1.95,0.033,26.0,118.0,0.98934,3.2,0.45,13.5,Good
7.4,0.27,0.26,11.8,0.053,55.0,173.0,0.9969899999999999,3.11,0.6,9.8,Poor
7.4,0.33,0.26,15.6,0.049,67.0,210.0,0.9990700000000001,3.06,0.68,9.5,Poor
7.6,0.13,0.34,9.3,0.062,40.0,126.0,0.9966,3.21,0.39,9.6,Poor
7.0,0.29,0.33,0.9,0.040999999999999995,20.0,117.0,0.9904799999999999,3.21,0.5,11.4,Poor
6.5,0.33,0.72,1.1,0.061,7.0,151.0,0.993,3.09,0.57,9.5,Poor
6.0,0.17,0.33,6.0,0.036000000000000004,30.0,111.0,0.9936200000000001,3.32,0.58,10.15,Good
5.8,0.28,0.18,1.2,0.057999999999999996,7.0,108.0,0.9928799999999999,3.23,0.58,9.55,Poor
6.4,0.23,0.35,10.3,0.042,54.0,140.0,0.9967,3.23,0.47,9.2,Poor
5.8,0.33,0.2,16.05,0.047,26.0,166.0,0.9976,3.09,0.46,8.9,Poor
7.7,0.32,0.48,2.3,0.04,28.0,114.0,0.9911,3.2,0.52,12.8,Good
7.4,0.16,0.3,13.7,0.055999999999999994,33.0,168.0,0.99825,2.9,0.44,8.7,Good
7.0,0.24,0.51,11.0,0.028999999999999998,55.0,227.0,0.9965,3.03,0.61,9.5,Poor
6.9,0.33,0.62,7.5,0.038,46.0,132.0,0.9914299999999999,3.23,0.43,13.4,Good
4.9,0.335,0.14,1.3,0.036000000000000004,69.0,168.0,0.9921200000000001,3.47,0.46,10.46666667,Poor
6.9,0.25,0.24,3.6,0.057,13.0,85.0,0.9942,2.99,0.48,9.5,Poor
7.7,0.28,0.58,12.1,0.046,60.0,177.0,0.9983,3.08,0.46,8.9,Poor
6.5,0.26,0.34,16.3,0.051,56.0,197.0,1.0004,3.49,0.42,9.8,Poor
6.3,0.41,0.18,3.5,0.027000000000000003,23.0,109.0,0.99018,3.34,0.54,12.8,Good
6.4,0.3,0.33,5.2,0.05,30.0,137.0,0.9930399999999999,3.26,0.58,11.1,Poor
6.5,0.19,0.1,1.3,0.046,23.0,107.0,0.9937,3.29,0.45,10.0,Poor
7.0,0.36,0.32,10.5,0.045,35.0,135.0,0.9935,3.09,0.33,11.6,Good
8.4,0.31,0.31,0.95,0.021,52.0,148.0,0.9903799999999999,2.93,0.32,11.5,Poor
6.6,0.28,0.3,7.8,0.049,57.0,202.0,0.9958,3.24,0.39,9.5,Poor
6.1,1.1,0.16,4.4,0.033,8.0,109.0,0.9905799999999999,3.35,0.47,12.4,Poor
6.9,0.4,0.42,6.2,0.066,41.0,176.0,0.9955200000000001,3.12,0.54,9.4,Poor
8.9,0.21,0.37,1.2,0.027999999999999997,20.0,93.0,0.99244,3.2,0.37,11.5,Poor
8.7,0.24,0.35,0.6,0.042,11.0,71.0,0.9926,3.08,0.38,10.6,Poor
7.6,0.3,0.25,4.3,0.054000000000000006,22.0,111.0,0.9956,3.12,0.49,9.2,Poor
6.8,0.39,0.35,11.6,0.044000000000000004,57.0,220.0,0.99775,3.07,0.53,9.3,Poor
7.5,0.33,0.39,12.4,0.065,29.0,119.0,0.9974,3.16,0.39,9.4,Poor
5.7,0.28,0.24,17.5,0.044000000000000004,60.0,167.0,0.9989,3.31,0.44,9.4,Poor
6.8,0.22,0.3,13.6,0.055,50.0,180.0,0.9984,3.44,0.39,9.8,Poor
8.2,0.23,0.37,1.3,0.042,39.0,117.0,0.9928,2.99,0.36,10.0,Poor
6.7,0.22,0.37,1.6,0.027999999999999997,24.0,102.0,0.9913,3.29,0.59,11.6,Good
7.0,0.32,0.27,7.1,0.027000000000000003,37.0,122.0,0.99165,3.15,0.6,12.6,Good
6.4,0.475,0.06,1.0,0.03,9.0,131.0,0.9904,2.97,0.29,10.8,Poor
6.0,0.23,0.15,9.7,0.048,101.0,207.0,0.99571,3.05,0.3,9.1,Poor
8.8,0.33,0.44,6.35,0.024,9.0,87.0,0.9917,2.96,0.4,12.6,Good
6.1,0.28,0.27,4.7,0.03,56.0,140.0,0.9904200000000001,3.16,0.42,12.5,Good
7.6,0.345,0.26,1.9,0.043,15.0,134.0,0.9936,3.08,0.38,9.5,Poor
6.0,0.26,0.5,2.2,0.048,59.0,153.0,0.9928,3.08,0.61,9.8,Poor
6.0,0.28,0.35,1.9,0.037000000000000005,16.0,120.0,0.9933,3.16,0.69,10.6,Poor
6.7,0.15,0.29,5.0,0.057999999999999996,28.0,105.0,0.9946,3.52,0.44,10.2,Good
6.3,0.34,0.33,4.6,0.034,19.0,80.0,0.9917,3.38,0.58,12.0,Good
6.0,0.32,0.12,5.9,0.040999999999999995,34.0,190.0,0.9944,3.16,0.72,10.0,Poor
7.2,0.2,0.22,1.6,0.044000000000000004,17.0,101.0,0.99471,3.37,0.53,10.0,Poor
7.4,0.24,0.26,1.6,0.057999999999999996,53.0,150.0,0.9936,3.18,0.5,9.9,Good
6.2,0.235,0.34,1.9,0.036000000000000004,4.0,117.0,0.9903200000000001,3.4,0.44,12.2,Poor
6.9,0.24,0.4,15.4,0.052000000000000005,81.0,198.0,0.9986,3.2,0.69,9.4,Poor
6.7,0.11,0.34,8.8,0.043,41.0,113.0,0.9962,3.42,0.4,9.3,Good
7.1,0.3,0.49,1.6,0.045,31.0,100.0,0.9942,3.4,0.59,10.2,Poor
6.8,0.26,0.56,11.9,0.043,64.0,226.0,0.997,3.02,0.63,9.3,Poor
9.0,0.29,0.34,12.1,0.03,34.0,177.0,0.9970600000000001,3.13,0.47,10.6,Poor
5.6,0.2,0.22,1.3,0.049,25.0,155.0,0.9929600000000001,3.74,0.43,10.0,Poor
8.6,0.34,0.36,1.4,0.045,11.0,119.0,0.99556,3.17,0.47,9.4,Poor
6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.9958,3.45,0.54,9.7,Good
9.4,0.16,0.3,1.4,0.042,26.0,176.0,0.9954,3.15,0.46,9.1,Poor
7.4,0.28,0.36,14.6,0.048,35.0,161.0,0.9968,3.14,0.56,10.6,Poor
6.8,0.18,0.28,9.8,0.039,29.0,113.0,0.99406,3.11,0.45,10.9,Good
5.9,0.36,0.04,5.7,0.046,21.0,87.0,0.9934,3.22,0.51,10.2,Poor
10.3,0.25,0.48,2.2,0.042,28.0,164.0,0.998,3.19,0.59,9.7,Poor
6.6,0.33,0.31,1.3,0.02,29.0,89.0,0.99035,3.26,0.44,12.4,Good
8.0,0.22,0.42,14.6,0.044000000000000004,45.0,163.0,1.0003,3.21,0.69,8.6,Good
7.3,0.23,0.27,2.6,0.035,39.0,120.0,0.9913799999999999,3.04,0.59,11.3,Good
7.2,0.585,0.2,10.4,0.086,17.0,94.0,0.9968100000000001,3.13,0.4,9.4,Poor
7.5,0.19,0.49,1.8,0.055,19.0,110.0,0.9946,3.33,0.44,9.9,Poor
6.5,0.22,0.29,7.4,0.027999999999999997,16.0,87.0,0.99311,3.15,0.56,10.9,Good
6.6,0.24,0.22,12.3,0.051,35.0,146.0,0.9967600000000001,3.1,0.67,9.4,Poor
6.9,0.3,0.49,7.6,0.057,25.0,156.0,0.9962,3.43,0.63,11.0,Good
6.8,0.23,0.3,1.7,0.043,19.0,95.0,0.9920700000000001,3.17,0.46,10.7,Good
7.8,0.29,0.33,8.75,0.035,33.0,181.0,0.9962,3.11,0.46,10.7,Poor
7.3,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,3.25,0.4,11.9,Good
6.45,0.14,0.42,1.2,0.05,51.0,129.0,0.99116,3.27,0.69,11.1,Good
7.6,0.2,0.3,14.2,0.055999999999999994,53.0,212.5,0.9990000000000001,3.14,0.46,8.9,Good
6.4,0.29,0.2,15.6,0.04,20.0,142.0,0.9962,3.1,0.54,10.6,Poor
7.2,0.4,0.62,10.8,0.040999999999999995,70.0,189.0,0.9976,3.08,0.49,8.6,Poor
6.8,0.27,0.26,16.1,0.049,55.0,196.0,0.9984,3.15,0.5,9.3,Poor
7.2,0.29,0.18,8.2,0.042,41.0,180.0,0.99644,3.16,0.49,9.1,Poor
6.1,0.36,0.58,15.0,0.044000000000000004,42.0,115.0,0.9978,3.15,0.51,9.0,Poor
6.6,0.23,0.3,4.6,0.06,29.0,154.0,0.9914200000000001,3.23,0.49,12.2,Good
7.4,0.22,0.33,2.0,0.045,31.0,101.0,0.9931,3.42,0.55,11.4,Poor
6.0,0.29,0.27,2.3,0.044000000000000004,20.0,117.0,0.9895,3.31,0.41,12.7,Good
6.9,0.48,0.36,3.5,0.03,31.0,135.0,0.9904,3.14,0.38,12.2,Good
5.1,0.33,0.22,1.6,0.027000000000000003,18.0,89.0,0.9893,3.51,0.38,12.5,Good
6.7,0.14,0.51,4.3,0.027999999999999997,57.0,124.0,0.9917600000000001,2.91,0.54,10.7,Good
6.6,0.4,0.32,1.7,0.035,39.0,84.0,0.9909600000000001,3.59,0.48,12.7,Good
6.9,0.22,0.37,15.0,0.053,59.0,178.0,0.9992,3.37,0.82,9.5,Good
7.2,0.31,0.35,7.2,0.046,45.0,178.0,0.9955,3.14,0.53,9.7,Poor
6.7,0.46,0.18,2.4,0.034,25.0,98.0,0.9896,3.08,0.44,12.6,Good
7.6,0.18,0.36,2.4,0.049,38.0,123.0,0.996,3.6,0.46,10.3,Poor
6.7,0.46,0.27,5.2,0.039,35.0,96.0,0.99129,3.16,0.44,12.4,Good
6.2,0.16,0.33,1.1,0.057,21.0,82.0,0.991,3.32,0.46,10.9,Good
6.7,0.2,0.37,1.65,0.025,42.0,103.0,0.9902200000000001,3.11,0.45,11.4,Poor
5.8,0.27,0.2,7.3,0.04,42.0,145.0,0.9944200000000001,3.15,0.48,9.8,Poor
6.3,0.24,0.37,1.8,0.031,6.0,61.0,0.9897,3.3,0.34,12.2,Poor
6.2,0.28,0.43,13.0,0.039,64.0,233.0,0.99745,3.08,0.38,8.9,Poor
6.8,0.19,0.32,7.6,0.049,37.0,107.0,0.9933200000000001,3.12,0.44,10.7,Good
7.2,0.16,0.26,7.1,0.054000000000000006,41.0,224.0,0.9966,3.38,0.55,10.1,Poor
6.7,0.35,0.48,8.8,0.055999999999999994,35.0,167.0,0.9962799999999999,3.04,0.47,9.4,Poor
5.8,0.3,0.42,1.1,0.036000000000000004,19.0,113.0,0.9887100000000001,3.1,0.46,12.6,Good
9.8,0.44,0.4,2.8,0.036000000000000004,35.0,167.0,0.9956,2.97,0.39,9.2,Poor
7.9,0.19,0.26,2.1,0.039,8.0,143.0,0.9942,3.05,0.74,9.8,Poor
6.6,0.28,0.42,8.2,0.044000000000000004,60.0,196.0,0.9956200000000001,3.14,0.48,9.4,Poor
8.2,0.61,0.45,5.4,0.03,15.0,118.0,0.9954,3.14,0.34,9.6,Poor
7.2,0.19,0.39,1.2,0.036000000000000004,32.0,85.0,0.9918,3.16,0.5,10.5,Poor
6.6,0.38,0.36,9.2,0.061,42.0,214.0,0.9976,3.31,0.56,9.4,Poor
6.5,0.21,0.37,2.5,0.048,70.0,138.0,0.9917,3.33,0.75,11.4,Good
6.1,0.25,0.18,10.5,0.049,41.0,124.0,0.9963,3.14,0.35,10.5,Poor
6.8,0.37,0.51,11.8,0.044000000000000004,62.0,163.0,0.9976,3.19,0.44,8.8,Poor
6.9,0.75,0.13,6.3,0.036000000000000004,19.0,50.0,0.9931200000000001,3.09,0.25,11.1,Poor
7.0,0.48,0.12,4.5,0.05,23.0,86.0,0.99398,2.86,0.35,9.0,Poor
7.4,0.31,0.26,8.6,0.048,47.0,206.0,0.9964,3.26,0.36,9.1,Poor
5.7,0.33,0.15,1.9,0.05,20.0,93.0,0.9934,3.38,0.62,9.9,Poor
6.7,0.33,0.36,6.6,0.042,34.0,116.0,0.9912299999999999,2.97,0.31,12.2,Good
6.3,0.17,0.23,5.7,0.048,44.0,147.0,0.99382,3.08,0.54,10.0,Poor
